,feature_dim,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,training_time,precision_Bearish_mean,precision_Bearish_std,recall_Bearish_mean,recall_Bearish_std,f1_Bearish_mean,f1_Bearish_std,precision_Bullish_mean,precision_Bullish_std,recall_Bullish_mean,recall_Bullish_std,f1_Bullish_mean,f1_Bullish_std,precision_Neutral_mean,precision_Neutral_std,recall_Neutral_mean,recall_Neutral_std,f1_Neutral_mean,f1_Neutral_std,extraction_time
tfidf,3477,0.7275053263380389,0.00845775611212742,0.7075487795734783,0.007257728949879873,0.7765314962398263,0.0038561005345833736,15.725321292877197,0.5410552573572428,0.014680157717485912,0.646330738177624,0.010300470753317472,0.5888491155945575,0.008688026399408022,0.6534332007717782,0.011221360404560553,0.7202272727272728,0.026634332161478626,0.6849530474526687,0.01443852820227988,0.8846153654425148,0.004794260698292211,0.81595796810922,0.009289959103456407,0.8488441756732085,0.0033457929093902404,0.10847187042236328
bow,2573,0.7214202025829266,0.016584322154550277,0.7006890921621908,0.015363325831462018,0.769421129329395,0.010101108113168175,6.652384233474732,0.5423789708666547,0.03259288756794036,0.6407775855440215,0.0182702381088701,0.5869492689071478,0.021804303575650066,0.6350493306587384,0.02788992980714756,0.7165895562770563,0.03377730421255254,0.6731344334672686,0.027987283088422608,0.8803837333427532,0.008034612248611114,0.8068934659277021,0.007936615963022604,0.841983574112156,0.004218372543210749,0.05482196807861328
w2v_win5_min2_cbow,100,0.462630174600564,0.015171049473513162,0.4434355946446879,0.01276777536920957,0.5521727139362133,0.01118666750060165,0.5729113101959229,0.2291210859032365,0.019582171084400236,0.35996251441753174,0.03952375348817195,0.27964572203654253,0.024408341880688408,0.3439324837371863,0.017238874592227938,0.42951704545454544,0.025406040954200463,0.3818707009594599,0.01963701230686656,0.7583577362041055,0.007329404406198579,0.598410963929615,0.019966388245992478,0.668790360938061,0.013561962214386448,0.46886515617370605
w2v_win5_min2_sg,100,0.529021458978008,0.01835132648013932,0.5145915662467326,0.016425781272430627,0.6281358371386953,0.012619998263183845,0.37241578102111816,0.30931944834724356,0.022026616772529595,0.424444925028835,0.0224132287235829,0.3577407422693393,0.021885732699217262,0.41686443390009786,0.014126714420732283,0.45446293290043294,0.031187202180954793,0.4345204194341371,0.020112284122022202,0.8006647035349106,0.011727831917342451,0.7081565190047561,0.011308101117519405,0.7515135370367216,0.009380751680319325,0.5969479084014893
w2v_win5_min5_cbow,100,0.4685856840151031,0.006221420422407834,0.44404923734647805,0.004274499142886257,0.5468285523453023,0.008290428134516583,0.5113859653472901,0.2184780589806857,0.0070216355568943544,0.3731353325643983,0.03476078009971377,0.2752438287226488,0.013828900124879586,0.35557082911238114,0.012559265910264355,0.4612432359307359,0.022434914349997805,0.40142772020357353,0.014977044424514155,0.7695197188632491,0.0035272200838797705,0.571378483550175,0.024223183479045222,0.6554761631132118,0.014951994758935586,0.44798707962036133
w2v_win5_min5_sg,100,0.5328240677170468,0.00918875934116669,0.5163922829559449,0.007534292530698105,0.6301803993408154,0.006162588248543823,0.4192845344543457,0.2955199052904238,0.006011072216004511,0.4355296039984621,0.017360403523479735,0.3520226613745309,0.008799459874000791,0.43075028159741713,0.015503960124684964,0.45915854978354975,0.03291070839791838,0.44414824878890274,0.02216699508688896,0.8099412085496136,0.006273443734643759,0.7037840493691285,0.01605620433205096,0.7530059387044009,0.00837794891717759,0.4811868667602539
w2v_win10_min2_cbow,100,0.46525629214791414,0.017914898288418975,0.4436348939207718,0.014609596829376991,0.5497782584583428,0.01205554690766812,0.5636603832244873,0.22991009152594838,0.016034524475858576,0.3960255670895809,0.033898873447253855,0.2907367236681069,0.02072559271181191,0.34725224644433494,0.01950587574850432,0.4097497294372294,0.031605160242901754,0.37576603636039596,0.023941934633223326,0.7608215622476194,0.008013126877981577,0.589993579916932,0.021444335808456474,0.6644019217338126,0.014485258009264534,0.44123291969299316
w2v_win10_min2_sg,100,0.5387441918027305,0.010955286735175552,0.524954594712977,0.009213066524760392,0.6396716156505314,0.00687405703105659,0.4469910144805908,0.3221101902068369,0.019340988076776318,0.43205738177623987,0.024469696492927198,0.3690178080149943,0.021141181417890332,0.42510324895341023,0.003751671215776833,0.4596726190476191,0.03150771945393198,0.44123722626556444,0.016159291896949306,0.809557283766407,0.006558191685991877,0.7245025745843324,0.01414135743288116,0.7646087498583721,0.009256954527647238,0.6286618709564209
w2v_win10_min5_cbow,100,0.476971954329076,0.009681265646732384,0.4520372688249593,0.00498176351595402,0.5540135226113907,0.006332294413449414,0.535341453552246,0.22776678093130065,0.006473268996009842,0.4008770665128797,0.03452579304715155,0.29018880103531536,0.013565172252570888,0.36648861159742363,0.013915335792807109,0.4492721861471861,0.02443871221522279,0.4034771971683022,0.016279003627571686,0.7716687381067382,0.0033020558385537095,0.5807666103271621,0.024201650503502602,0.6624458082712606,0.015194104246465315,0.4031789302825928
w2v_win10_min5_sg,100,0.5445781670607632,0.0128952630086588,0.5291932461526128,0.01141738642423824,0.643131651716938,0.00953345317672207,0.45192780494689944,0.3168339314113736,0.014800227107455901,0.442459630911188,0.0185936377251728,0.36917342823035704,0.01563945849929591,0.4361348706473427,0.016986060252314656,0.46903950216450213,0.0316757501030275,0.45177011325729854,0.022870741819084772,0.8171313148488496,0.009871359418336664,0.7222353681065996,0.01807943034776568,0.7666361969701827,0.01176582401756594,0.5281782150268555
