,extraction_time,feature_dim,cv_mean,cv_std,training_time
tfidf,0.2109994888305664,3477,0.6355683841133072,0.023469193663354496,18.650516748428345
bow,0.08900809288024902,2573,0.6622784040937912,0.03333124320061018,14.337994575500488
w2v_win5_min2_cbow,1.1009447574615479,100,0.5191109274319595,0.011693679693290307,1.3302638530731201
w2v_win5_min2_sg,1.2370004653930664,100,0.5497228961480758,0.01881125266032218,1.1248161792755127
w2v_win5_min5_cbow,1.020873785018921,100,0.5212442261019516,0.016637604137496875,1.1845197677612305
w2v_win5_min5_sg,1.0930006504058838,100,0.5454375749095364,0.02036721173756527,1.0827381610870361
w2v_win10_min2_cbow,1.0597624778747559,100,0.5102761521108061,0.011170719873998047,1.5020287036895752
w2v_win10_min2_sg,1.3159995079040527,100,0.5532202139228894,0.020646613529274827,1.2144811153411865
w2v_win10_min5_cbow,0.9780359268188477,100,0.5199002016528297,0.010569630358544961,1.2605538368225098
w2v_win10_min5_sg,1.2199716567993164,100,0.5500479309407222,0.015004207965324236,1.052515983581543
bert,96.34604024887085,768,0.6115343202291192,0.017136273183406218,33.594095945358276
